x,x1,x2,x3,x4,x5,x6,x7
1894,51,42,39,22,160,96,43
1895,51,42,39,22,160,96,43
1896,51,42,39,22,160,96,43
1897,51,42,39,22,160,96,43
1898,51,42,39,22,160,96,43
1899,51,42,39,22,160,96,43
1900,51,42,39,22,160,96,43
1901,51,42,39,22,160,96,43
1902,51,42,39,22,160,96,43
1903,51,42,39,22,160,96,43
1904,51,42,39,22,160,96,43
1905,51,42,39,22,160,96,43
1906,51,42,39,22,160,96,43
1907,51,42,39,22,160,96,43
1908,51,42,39,22,160,96,43
1909,51,42,39,22,160,96,43
1910,51,42,39,22,160,96,43
1911,51,42,39,22,160,96,43
1912,51,42,39,22,160,96,43
1913,51,42,39,22,160,96,43
1914,51,42,39,22,160,96,43
1915,51,42,39,22,160,96,43
1916,51,42,39,22,160,96,43
1917,51,42,39,22,160,96,43
1918,51,42,39,22,160,96,43
1919,51,42,39,22,160,96,43
1920,51,42,39,22,160,96,43
1921,51,42,39,22,160,96,43
1922,51,42,39,22,160,96,43
1923,51,42,39,22,160,96,43
1924,51,42,39,22,160,96,43
1925,51,42,39,22,160,96,43
1926,51,42,39,22,160,96,43
1927,51,42,39,22,160,96,43
1928,51,42,39,22,160,96,43
1929,51,42,39,22,160,96,43
1930,51,42,39,22,160,96,43
1931,51,42,39,22,161,96,43
1932,51,42,39,22,161,96,43
1933,51,42,39,22,161,96,43
1934,51,42,39,22,161,96,43
1935,51,42,39,22,161,96,43
1936,51,42,39,22,161,96,43
1937,51,42,39,22,161,96,43
1938,52,42,39,22,161,96,43
1939,52,42,39,22,161,96,43
1940,52,42,39,22,161,96,43
1941,52,42,39,22,161,96,43
1942,52,42,39,22,161,96,43
1943,52,42,39,22,161,96,43
1944,52,42,39,22,161,96,43
1945,52,42,39,22,161,96,43
1946,52,42,39,22,161,96,43
1947,52,42,39,22,161,96,43
1948,52,42,39,22,161,96,43
1949,52,42,39,22,161,96,43
1950,52,43,39,22,161,96,43
1951,52,43,39,22,161,96,43
1952,52,43,39,22,161,96,43
1953,52,43,39,22,161,97,43
1954,52,43,39,22,161,97,43
1955,52,43,39,22,161,97,43
1956,52,43,39,22,161,97,43
1957,52,43,39,22,161,97,43
1958,52,43,39,22,161,97,43
1959,52,43,39,22,161,97,43
1960,52,43,39,22,161,97,43
1961,52,43,39,22,161,97,43
1962,52,43,39,22,161,97,43
1963,52,43,39,23,161,97,43
1964,52,43,39,23,161,97,43
1965,52,43,39,23,161,97,43
1966,52,43,39,23,161,97,43
1967,52,43,39,23,161,97,43
1968,52,43,39,23,161,97,43
1969,52,43,39,23,161,97,43
1970,52,43,39,23,161,97,43
1971,52,43,39,23,161,97,43
1972,52,43,39,23,161,97,43
1973,52,43,39,23,161,97,43
1974,52,43,39,23,161,97,43
1975,52,43,39,23,161,97,43
1976,52,43,39,23,161,97,43
1977,52,43,39,23,161,97,43
1978,52,43,39,23,161,97,43
1979,52,43,39,23,161,97,43
1980,52,43,39,23,161,97,43
1981,52,43,39,23,161,97,43
1982,52,43,39,23,161,97,43
1983,52,43,39,23,161,97,43
1984,52,43,39,23,161,97,43
1985,52,43,39,23,161,97,43
1986,52,43,39,23,161,97,43
1987,52,43,39,23,161,97,43
1988,52,43,39,23,161,97,43
1989,52,43,39,23,161,97,43
1990,52,43,39,23,161,97,43
1991,52,43,39,23,161,97,43
1992,52,43,39,23,161,97,43
1993,52,43,39,23,161,97,43
1994,52,43,39,23,162,97,43
1995,52,43,39,23,162,97,43
1996,52,43,39,23,162,97,43
1997,52,43,39,23,162,97,43
1998,52,43,39,23,162,97,43
1999,52,43,39,23,162,97,43
2000,52,43,39,23,162,97,43
2001,52,43,39,23,162,97,43
2002,52,43,39,23,162,97,43
2003,52,43,39,23,162,97,44
2004,52,43,39,23,162,97,44
2005,52,43,39,23,162,97,44
2006,52,43,39,23,162,97,44
2007,52,43,39,23,162,97,44
2008,52,43,39,23,162,97,44
2009,52,43,39,23,162,97,44
2010,52,43,39,23,162,97,44
2011,52,43,39,23,162,97,44
2012,52,43,39,23,162,97,44
2013,52,43,39,23,162,97,44
2014,52,43,39,23,162,97,44
2015,52,43,39,23,162,97,44
2016,52,43,39,23,162,97,44
2017,52,43,39,23,162,97,44
2018,52,43,39,23,162,97,44
2019,52,43,39,23,162,97,44
2020,52,43,39,23,162,97,44
2021,52,43,39,23,162,97,44
2022,52,43,39,23,162,97,44
2023,52,43,39,23,162,98,44
2024,52,43,39,23,162,98,44
2025,52,43,39,23,162,98,44
2026,52,43,39,23,162,98,44
2027,52,43,39,23,162,98,44
2028,52,43,39,23,162,98,44
2029,52,43,39,23,162,98,44
2030,52,43,39,23,162,98,44
2031,52,43,39,23,162,98,44
2032,52,43,39,23,162,98,44
2033,52,43,39,23,162,98,44
2034,52,43,39,23,162,98,44
2035,52,43,39,23,162,98,44
2036,52,43,39,23,162,98,44
2037,52,43,39,23,162,98,44
2038,52,43,39,23,162,98,44
2039,52,43,39,23,162,98,44
2040,52,43,39,23,162,98,44
2041,52,43,39,23,162,98,44
2042,52,43,39,23,162,98,44
2043,52,43,39,23,162,98,44
2044,52,43,39,23,162,98,44
2045,52,43,40,23,162,98,44
2046,52,43,40,23,162,98,44
2047,52,43,40,23,162,98,44
2048,52,43,40,23,162,98,44
2049,52,43,40,23,162,98,44
2050,52,43,40,23,163,98,44
2051,52,43,40,23,163,98,44
2052,52,43,40,23,163,98,44
2053,52,43,40,23,163,98,44
2054,52,43,40,23,163,98,44
2055,52,43,40,23,163,98,44
2056,52,43,40,23,163,98,44
2057,52,43,40,23,163,98,44
2058,52,43,40,23,163,98,44
2059,52,43,40,23,163,98,44
2060,52,43,40,23,163,98,44
2061,52,43,40,23,163,98,44
2062,52,43,40,23,163,98,44
2063,52,43,40,23,163,98,44
2064,52,43,40,23,163,98,44
2065,52,43,40,23,163,98,44
2066,52,43,40,23,163,98,44
2067,52,43,40,23,163,98,44
2068,52,43,40,23,163,98,44
2069,52,43,40,23,163,98,44
2070,52,43,40,23,163,98,44
2071,52,43,40,23,163,98,44
2072,52,43,40,23,163,98,44
2073,52,43,40,23,163,98,44
2074,52,43,40,23,163,98,44
2075,52,43,40,23,163,98,44
2076,52,43,40,23,163,98,44
2077,52,43,40,23,163,98,44
2078,52,43,40,23,163,98,44
2079,52,43,40,23,163,98,44
2080,52,43,40,23,163,98,44
2081,52,43,40,23,163,98,44
2082,52,43,40,23,163,98,44
2083,52,43,40,23,163,98,44
2084,52,43,40,23,163,98,44
2085,52,43,40,23,163,98,44
2086,52,43,40,23,163,98,44
2087,52,43,40,23,163,98,44
2088,52,43,40,23,163,98,44
2089,52,43,40,23,163,98,44
2090,52,43,40,23,163,98,44
2091,52,43,40,23,163,98,44
2092,52,43,40,23,163,98,44
2093,52,43,40,23,163,98,44
2094,52,43,40,23,163,98,44
2095,52,43,40,23,163,98,44
2096,52,43,40,23,163,98,44
2097,52,43,40,23,163,98,44
2098,52,43,40,23,163,98,44
2099,52,43,40,23,163,98,44
2100,52,43,40,23,163,98,44
2101,52,43,40,23,163,98,44
2102,52,43,40,23,163,98,44
2103,52,43,40,23,163,99,44
2104,52,43,40,23,163,99,44
2105,52,43,40,23,163,99,44
2106,52,43,40,23,163,99,44
2107,52,43,40,23,163,99,44
2108,52,43,40,23,163,99,44
2109,52,43,40,23,163,99,44
2110,52,43,40,23,163,99,44
2111,52,43,40,23,163,99,44
2112,52,43,40,23,163,99,44
2113,52,43,40,23,164,99,44
2114,52,43,40,23,164,99,44
2115,52,43,40,23,164,99,44
2116,52,43,40,23,164,99,44
2117,52,43,40,23,164,99,44
2118,52,43,40,23,164,99,44
2119,52,43,40,23,164,99,44
2120,52,43,40,23,164,99,44
2121,52,43,40,23,164,99,44
2122,52,43,40,23,164,99,44
2123,52,43,40,23,164,99,44
2124,52,43,40,23,164,99,44
2125,52,43,40,23,164,99,44
2126,52,43,40,23,164,99,44
2127,52,43,40,23,164,99,44
2128,52,43,40,23,164,99,44
2129,52,43,40,23,164,99,44
2130,52,43,40,23,164,99,44
2131,52,43,40,23,164,99,44
2132,52,43,40,23,164,99,44
2133,52,43,40,23,164,99,44
2134,52,43,40,23,164,99,44
2135,52,43,40,23,164,99,44
2136,52,43,40,23,164,99,44
2137,52,43,40,23,164,99,44
2138,52,43,40,23,164,99,44
2139,52,43,40,23,164,99,44
2140,52,43,40,23,164,99,44
2141,52,43,40,23,164,99,44
2142,52,43,40,23,164,99,44
2143,52,43,40,23,164,99,44
2144,52,43,40,23,164,99,44
2145,52,43,40,23,164,99,44
2146,52,43,40,23,164,99,44
2147,52,43,40,23,164,99,44
2148,53,43,40,23,164,99,44
2149,53,43,40,23,164,99,44
2150,53,43,40,23,164,99,44
2151,53,43,40,23,164,99,44
2152,53,43,40,23,164,99,44
2153,53,43,40,23,164,99,44
2154,53,43,40,23,164,99,44
2155,53,43,40,23,164,99,44
2156,53,43,40,23,164,99,44
2157,53,43,40,23,164,99,44
2158,53,44,40,23,164,99,44
2159,53,44,40,23,164,99,44
2160,53,44,40,23,164,99,44
2161,53,44,40,23,164,99,44
2162,53,44,40,23,164,99,44
2163,53,44,40,23,164,99,44
2164,53,44,40,23,165,99,44
2165,53,44,40,23,165,99,45
2166,53,44,40,23,165,99,45
2167,53,44,40,23,165,99,45
2168,53,44,40,23,165,99,45
2169,53,44,40,23,165,99,45
2170,53,44,40,23,165,99,45
2171,53,44,41,23,165,99,45
2172,53,44,41,23,165,99,45
2173,53,44,41,23,165,99,45
2174,53,44,41,23,165,99,45
2175,53,44,41,23,165,99,45
2176,53,44,41,23,165,99,45
2177,53,44,41,23,165,99,45
